HCPC,SEQNUM,RECID,LONG_DESCRIPTION,SHORT_DESCRIPTION,,,,,
   A1,10,7,Dressing for one wound,Dressing for one wound,,,,,
   A2,10,7,Dressing for two wounds,Dressing for two wounds,,,,,
   A3,10,7,Dressing for three wounds,Dressing for three wounds,,,,,
   A4,10,7,Dressing for four wounds,Dressing for four wounds,,,,,
   A5,10,7,Dressing for five wounds,Dressing for five wounds,,,,,
   A6,10,7,Dressing for six wounds,Dressing for six wounds,,,,,
   A7,10,7,Dressing for seven wounds,Dressing for seven wounds,,,,,
   A8,10,7,Dressing for eight wounds,Dressing for eight wounds,,,,,
   A9,10,7,Dressing for nine or more wounds,Dressing for 9 or more wound,,,,,
   AA,10,7,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst,,,,,
   AD,10,7,Medical supervision by a physician: more than four concurrent anesthesia procedures,"Md supervision, >4 anes proc",,,,,
   AE,10,7,Registered dietician,Registered dietician,,,,,
   AF,10,7,Specialty physician,Specialty physician,,,,,
   AG,10,7,Primary physician,Primary physician,,,,,
   AH,10,7,Clinical psychologist,Clinical psychologist,,,,,
   AI,10,7,Principal physician of record,Principal physician of rec,,,,,
   AJ,10,7,Clinical social worker,Clinical social worker,,,,,
   AK,10,7,Non participating physician,Non participating physician,,,,,
   AM,10,7,"Physician, team member service","Physician, team member svc",,,,,
   AO,10,7,Alternate payment method declined by provider of service,Prov declined alt pmt method,,,,,
   AP,10,7,Determination of refractive state was not performed in the course of diagnostic ophthalmological examination,No dtmn of refractive state,,,,,
   AQ,10,7,Physician providing a service in an unlisted health professional shortage area (hpsa),Physician service hpsa area,,,,,
   AR,10,7,Physician provider services in a physician scarcity area,Physician scarcity area,,,,,
   AS,10,7,"Physician assistant, nurse practitioner, or clinical nurse specialist services for assistant at surgery",Assistant at surgery service,,,,,
   AT,10,7,"Acute treatment (this modifier should be used when reporting service 98940, 98941, 98942)",Acute treatment,,,,,
   AU,10,7,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",,,,,
   AV,10,7,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic,,,,,
   AW,10,7,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing,,,,,
   AX,10,7,Item furnished in conjunction with dialysis services,Item w dialysis services,,,,,
   AY,10,7,Item or service furnished to an esrd patient that is not for the treatment of esrd,Item/service not for esrd tx,,,,,
   AZ,10,7,Physician providing a service in a dental health professional shortage area for the purpose of an electronic health record incentive payment,Physician serv in dent hpsa,,,,,
   BA,10,7,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,,,,,
   BL,10,7,Special acquisition of blood and blood products,Spec acquisition blood prods,,,,,
   BO,10,7,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube,,,,,
   BP,10,7,The beneficiary has been informed of the purchase and rental options and has elected to purchase the item,Bene electd to purchase item,,,,,
   BR,10,7,The beneficiary has been informed of the purchase and rental options and has elected to rent the item,Bene elected to rent item,,,,,
   BU,10,7,The beneficiary has been informed of the purchase and rental options and after 30 days has not informed the supplier of his/her decision,Bene undecided on purch/rent,,,,,
   CA,10,7,Procedure payable only in the inpatient setting when performed emergently on an outpatient who expires prior to admission,Procedure payable inpatient,,,,,
   CB,10,7,"Service ordered by a renal dialysis facility (rdf) physician as part of the esrd beneficiary's dialysis benefit, is not part of the composite rate, and is separately reimbursable",Esrd bene part a snf-sep pay,,,,,
